horizon,proposed_mae,proposed_rmse,tcn_mae,tcn_rmse,mae_improvement_ugm3,rmse_improvement_ugm3
59,58.16788864135742,85.25957034807001,61.95344924926758,94.31754252590024,3.7855606079101562,9.057972177830223
60,58.221466064453125,85.33343092594924,61.979488372802734,94.3185157955478,3.7580223083496094,8.985084869598552
61,58.2957649230957,85.46609056648578,62.02991485595703,94.32100069377445,3.734149932861328,8.854910127288676
62,58.35840606689453,85.55575439077725,62.1059455871582,94.37135754560279,3.747539520263672,8.815603154825538
63,58.35439682006836,85.52654010598114,62.127357482910156,94.31563219616619,3.772960662841797,8.78909209018505
64,58.303279876708984,85.38396445890031,62.078922271728516,94.1220170925087,3.7756423950195312,8.73805263360839
65,58.23091125488281,85.29024721227657,61.781822204589844,92.79794709138235,3.5509109497070312,7.507699879105786
66,58.12759780883789,85.19465303791078,61.82697296142578,92.76830281843309,3.6993751525878906,7.573649780522302
67,57.99359893798828,85.11258341437387,61.76864242553711,92.76167589918263,3.775043487548828,7.649092484808762
68,57.84918212890625,84.95117795957128,61.780391693115234,92.77722393588849,3.9312095642089844,7.826045976317204
69,57.68247985839844,84.67693372736609,61.67129898071289,92.58905130670149,3.988819122314453,7.912117579335401
70,57.53505325317383,84.23959331591796,61.55175018310547,92.06895980391546,4.016696929931641,7.829366487997504
71,57.39314270019531,83.82105194997257,61.456729888916016,91.45411674030863,4.063587188720703,7.633064790336064
72,57.21786880493164,83.21656141508132,61.23796081542969,90.76723751580192,4.020092010498047,7.550676100720608
